content,dynasty,name,author
"
",宋代,声声慢·寻寻觅觅,李清照
"
落日熔金，暮云合璧，人在何处。染柳烟浓，吹梅笛怨，春意知几许。元宵佳节，融和天气，次第岂无风雨。来相召、香车宝马，谢他酒朋诗侣。(熔金 一作：镕金)",宋代,永遇乐·落日熔金,李清照
"
蹴罢秋千，起来慵整纤纤手。露浓花瘦，薄汗轻衣透。",宋代,点绛唇·蹴罢秋千,李清照
"
风住尘香花已尽，日晚倦梳头。物是人非事事休，欲语泪先流。",宋代,武陵春·春晚,李清照
"
薄雾浓云愁永昼，瑞脑消金兽。佳节又重阳，玉枕纱橱，半夜凉初透。(橱 通：厨)",宋代,醉花阴·薄雾浓云愁永昼,李清照
"
寒日萧萧上琐窗，梧桐应恨夜来霜。酒阑更喜团茶苦，梦断偏宜瑞脑香。",宋代,鹧鸪天·寒日萧萧上琐窗,李清照
"
暖雨晴风初破冻，柳眼梅腮，已觉春心动。酒意诗情谁与共？泪融残粉花钿重。",宋代,蝶恋花·暖雨晴风初破冻,李清照
"
",宋代,凤凰台上忆吹箫·香冷金猊,李清照
"
年年雪里，常插梅花醉。挼尽梅花无好意，赢得满衣清泪。",宋代,清平乐·年年雪里,李清照
"
昨夜雨疏风骤，浓睡不消残酒。试问卷帘人，却道海棠依旧。知否，知否？应是绿肥红瘦。
",宋代,如梦令·昨夜雨疏风骤,李清照
"
常记溪亭日暮，沉醉不知归路。",宋代,如梦令·常记溪亭日暮,李清照
"
红藕香残玉簟秋。轻解罗裳，独上兰舟。云中谁寄锦书来，雁字回时，月满西楼。",宋代,一剪梅·红藕香残玉簟秋,李清照
"
天上星河转，人间帘幕垂。凉生枕簟泪痕滋。起解罗衣聊问、夜何其。",宋代,南歌子·天上星河转,李清照
"
金陵城上西楼，倚清秋。万里夕阳垂地，大江流。",宋代,相见欢·金陵城上西楼,朱敦儒
"
天接云涛连晓雾，星河欲转千帆舞。仿佛梦魂归帝所。闻天语，殷勤问我归何处。",宋代,渔家傲·天接云涛连晓雾,李清照
"
",宋代,燕山亭·北行见杏花,赵佶
"
",宋代,南柯子·山冥云阴重,王炎
"
朝云横度。辘辘车声如水去。白草黄沙。月照孤村三两家。",宋代,减字木兰花·题雄州驿,蒋氏女
"
",宋代,鹧鸪天·西都作,朱敦儒
"
洗妆真态，不作铅花御。竹外一枝斜，想佳人，天寒日暮。黄昏院落，无处著清香，风细细，雪垂垂，何况江头路。",宋代,蓦山溪·梅,曹组
"
秋色渐将晚，霜信报黄花。小窗低户深映，微路绕欹斜。为问山翁何事，坐看流年轻度，拚却鬓双华。徙倚望沧海，天净水明霞。 ",宋代,水调歌头·秋色渐将晚,叶梦得
"
杏花村馆酒旗风。水溶溶。扬残红。野渡舟横，杨柳绿阴浓。望断江南山色远，人不见，草连空。 ",宋代,江神子·杏花村馆酒旗风,谢逸
"
摇首出红尘，醒醉更无时节。活计绿蓑青笠，惯披霜冲雪。 ",宋代,好事近·摇首出红尘,朱敦儒
"
见梨花初带夜月，海棠半含朝雨。内苑春、不禁过青门，御沟涨、潜通南浦。东风静、细柳垂金缕。望凤阙、非烟非雾。好时代、朝野多欢，遍九陌、太平箫鼓。 ",宋代,三台·清明应制,万俟咏
"
新月娟娟，夜寒江静山衔斗。起来搔首，梅影横窗瘦。",宋代,点绛唇·新月娟娟,汪藻
"
月皎惊乌栖不定，更漏将残，辘轳牵金井。唤起两眸清炯炯。泪花落枕红绵冷。",宋代,蝶恋花·早行,周邦彦
"
缥缈危亭，笑谈独在千峰上。与谁同赏。万里横烟浪。 ",宋代,点绛唇·绍兴乙卯登绝顶小亭,叶梦得
"
泪湿阑干花著露。愁到眉峰碧聚。此恨平分取。更无言语。空相觑。 ",宋代,惜分飞·泪湿阑干花著露,毛滂
"
桃溪不作从容住，秋藕绝来无续处。当时相候赤阑桥，今日独寻黄叶路。",宋代,玉楼春·桃溪不作从容住,周邦彦
"
柳阴直。烟里丝丝弄碧。隋堤上、曾见几番，拂水飘绵送行色。登临望故国。谁识。京华倦客。长亭路，年去岁来，应折柔条过千尺。 ",宋代,兰陵王·柳,周邦彦
"
叶下斜阳照水。卷轻浪、沈沈千里。桥上酸风射眸子。立多时，看黄昏，灯火市。",宋代,夜游宫·叶下斜阳照水,周邦彦
"
疏篱曲径田家小。云树开清晓。天寒山色有无中。野外一声钟起、送孤蓬。 ",宋代,虞美人·疏篱曲径田家小,周邦彦
"
佳丽地。南朝盛事谁记。山围故国绕清江，髻鬓对起。怒涛寂寞打孤城，风樯遥度天际。 ",宋代,西河·大石金陵,周邦彦
"
正单衣试酒，恨客里、光阴虚掷。愿春暂留，春归如过翼。一去无迹。为问花何在，夜来风雨，葬楚宫倾国。钗钿堕处遗香泽。乱点桃蹊，轻翻柳陌。多情为谁追惜。但蜂媒蝶使，时叩窗隔。 ",宋代,六丑·落花,周邦彦
"
燎沉香，消溽暑。鸟雀呼晴，侵晓窥檐语。叶上初阳干宿雨、水面清圆，一一风荷举。",宋代,苏幕遮·燎沉香,周邦彦
"
风老莺雏，雨肥梅子，午阴嘉树清圆。地卑山近，衣润费炉烟。人静乌鸢自乐，小桥外、新绿溅溅。凭阑久，黄芦苦竹，拟泛九江船。",宋代,满庭芳·夏日溧水无想山作,周邦彦
"
风消绛蜡，露浥红莲，灯市光相射。桂华流瓦。纤云散，耿耿素娥欲下。衣裳淡雅。看楚女纤腰一把。箫鼓喧，人影参差，满路飘香麝。",宋代,解语花·上元,周邦彦
"
并刀如水，吴盐胜雪，纤手破新橙。锦幄初温，兽烟不断，相对坐调笙。 ",宋代,少年游·并刀如水,周邦彦
"
章台路。还见褪粉梅梢，试花桃树。愔愔坊陌人家，定巢燕子，归来旧处。 ",宋代,瑞龙吟·大石春景,周邦彦
"
未遇行藏谁肯信，如今方表名踪。无端良匠画形容。当风轻借力，一举入高空。 ",宋代,临江仙·未遇行藏谁肯信,侯蒙
"
帘幕疏疏风透。一线香飘金兽。朱阑倚遍黄昏后。廊上月华如昼。 ",宋代,秋蕊香·帘幕疏疏风透,张耒
"
开时似雪。谢时似雪。花中奇绝。香非在蕊，香非在萼，骨中香彻。 ",宋代,盐角儿·亳社观梅,晁补之
"
买陂塘、旋栽杨柳，依稀淮岸江浦。东皋嘉雨新痕涨，沙觜鹭来鸥聚。堪爱处最好是、一川夜月光流渚。无人独舞。任翠幄张天，柔茵藉地，酒尽未能去。 ",宋代,摸鱼儿·东皋寓居,晁补之
"
清波门外拥轻衣。杨花相送飞。西湖又还春晚，水树乱莺啼。闲院宇，小帘帏。晚初归。钟声已过，篆香才点，月到门时。
",宋代,诉衷情·宝月山作,仲殊
"
十里青山远，潮平路带沙。数声啼鸟怨年华。又是凄凉时候，在天涯。",宋代,南柯子·十里青山远,仲殊
"
紫府东风放夜时。步莲秾李伴人归。五更钟动笙歌散，十里月明灯火稀。 ",宋代,思越人·紫府东风放夜时,贺铸
"
薄雨初寒，斜照弄晴，春意空阔。长亭柳色才黄，远客一枝先折。烟横水际，映带几点归鸦，东风销尽龙沙雪。还记出关来，恰而今时节。 ",宋代,石州引·薄雨初寒,贺铸
"
重过阊门万事非。同来何事不同归。梧桐半死清霜后，头白鸳鸯失伴飞。 ",宋代,半死桐·重过阊门万事非,贺铸
"
少年侠气，交结五都雄。肝胆洞。毛发耸。立谈中。死生同。一诺千金重。推翘勇。矜豪纵。轻盖拥。联飞鞚。斗城东。轰饮酒垆，春色浮寒瓮。吸海垂虹。闲呼鹰嗾犬，白羽摘雕弓。狡穴俄空。乐匆匆。 ",宋代,六州歌头·少年侠气,贺铸
"
",宋代,青玉案·凌波不过横塘路,贺铸
"
砧面莹，杵声齐。捣就征衣泪墨题。寄到玉关应万里，戍人犹在玉关西。
",宋代,杵声齐·砧面莹,贺铸
"
树绕村庄，水满陂塘。倚东风、豪兴徜徉。小园几许，收尽春光。有桃花红，李花白，菜花黄。",宋代,行香子·树绕村庄,秦观
"
雾失楼台，月迷津渡。桃源望断无寻处。可堪孤馆闭春寒，杜鹃声里斜阳暮。 ",宋代,踏莎行·郴州旅舍,秦观
"
漠漠轻寒上小楼，晓阴无赖似穷秋。淡烟流水画屏幽。",宋代,浣溪沙·漠漠轻寒上小楼,秦观
"
杨柳回塘，鸳鸯别浦。绿萍涨断莲舟路。断无蜂蝶慕幽香，红衣脱尽芳心苦。 ",宋代,芳心苦·杨柳回塘,贺铸
"
水边沙外。城郭春寒退。花影乱，莺声碎。飘零疏酒盏，离别宽衣带。人不见，碧云暮合空相对。 ",宋代,千秋岁·水边沙外,秦观
"
纤云弄巧，飞星传恨，银汉迢迢暗度。金风玉露一相逢，便胜却人间无数。(度 通：渡)",宋代,鹊桥仙·纤云弄巧,秦观
"
山抹微云，天连衰草，画角声断谯门。暂停征棹，聊共引离尊。多少蓬莱旧事，空回首、烟霭纷纷。斜阳外，寒鸦万点，流水绕孤村。(万点 一作：数点)",宋代,满庭芳·山抹微云,秦观
"
梅英疏淡，冰澌溶泄，东风暗换年华。金谷俊游，铜驼巷陌，新晴细履平沙。长记误随车。正絮翻蝶舞，芳思交加。柳下桃蹊，乱分春色到人家。",宋代,望海潮·洛阳怀古,秦观
"
西城杨柳弄春柔，动离忧，泪难收。犹记多情、曾为系归舟。碧野朱桥当日事，人不见，水空流。",宋代,江城子·西城杨柳弄春柔,秦观
"
小雨纤纤风细细，万家杨柳青烟里。恋树湿花飞不起，愁无比，和春付与东流水。",宋代,渔家傲·小雨纤纤风细细,朱服
"
一年春物，惟梅柳间意味最深。至莺花烂漫时，则春已衰迟，使人无复新意。予作《洞仙歌》，使探春者歌之，无后时之悔。",宋代,洞仙歌·雪云散尽,李元膺
"
倚危亭。恨如芳草，萋萋刬尽还生。念柳外青骢别后，水边红袂分时，怆然暗惊。",宋代,八六子·倚危亭,秦观
"
胡马嘶风，汉旗翻雪，彤云又吐，一竿残照。古木连空，乱山无数，行尽暮沙衰草。星斗横幽馆，夜无眠、灯花空老。雾浓香鸭，冰凝泪烛，霜天难晓。 ",宋代,青门饮·寄宠人,时彦
"
黄菊枝头生晓寒。人生莫放酒杯干。风前横笛斜吹雨，醉里簪花倒著冠。 ",宋代,鹧鸪天·座中有眉山隐客史应之和前韵即席答之,黄庭坚
